Date,Type,Description,Account_Type,Card_Name,Amount,Category
2024-04-18,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2400.83,Services
2024-04-18,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-71.33,Food & Drink
2024-04-19,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2940.45,Services
2024-04-19,Expense,Sub: Playstation Plus,Personal,Platinum Mastercard *1820,-14.99,Entertainment
2024-04-19,Expense,Health Purchase,Personal,Platinum Mastercard *1820,-155.53,Health
2024-04-20,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2859.64,Services
2024-04-20,Expense,Supply Warehouse,Business,Business Checking *9901,-537.19,Services
2024-04-20,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-190.75,Food & Drink
2024-04-21,Expense,Supply Warehouse,Business,Business Checking *9901,-366.28,Services
2024-04-21,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-118.53,Entertainment
2024-04-22,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2371.48,Services
2024-04-23,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1776.14,Services
2024-04-23,Expense,Health Purchase,Personal,Travel Rewards *5541,-165.05,Health
2024-04-24,Expense,Shopping Purchase,Personal,Platinum Mastercard *1820,-66.71,Shopping
2024-04-25,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1176.34,Services
2024-04-25,Expense,Supply Warehouse,Business,Business Checking *9901,-164.63,Services
2024-04-26,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2121.05,Services
2024-04-27,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2464.56,Services
2024-04-29,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1380.66,Services
2024-04-29,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-153.73,Food & Drink
2024-04-30,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1098.98,Services
2024-05-01,Expense,Rent,Personal,Adv SafeBalance *2290,-2000.0,Bills
2024-05-01,Expense,Sub: Netflix,Personal,Travel Rewards *5541,-19.99,Entertainment
2024-05-02,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2188.91,Services
2024-05-02,Expense,Transport Purchase,Personal,Travel Rewards *5541,-178.68,Transport
2024-05-03,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2132.78,Services
2024-05-03,Expense,Sub: Spotify,Personal,Travel Rewards *5541,-10.99,Entertainment
2024-05-04,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1703.68,Services
2024-05-04,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-95.31,Food & Drink
2024-05-05,Expense,Supply Warehouse,Business,Business Checking *9901,-326.96,Services
2024-05-05,Expense,Sub: YouTube Premium,Personal,Travel Rewards *5541,-13.99,Entertainment
2024-05-05,Expense,Entertainment Purchase,Personal,Platinum Mastercard *1820,-121.78,Entertainment
2024-05-06,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2203.58,Services
2024-05-07,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2511.32,Services
2024-05-07,Expense,Supply Warehouse,Business,Business Checking *9901,-474.44,Services
2024-05-07,Expense,Sub: Amazon Prime,Personal,Platinum Mastercard *1820,-14.99,Shopping
2024-05-07,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-49.48,Entertainment
2024-05-08,Expense,Supply Warehouse,Business,Business Checking *9901,-239.45,Services
2024-05-08,Expense,Food & Drink Purchase,Personal,Travel Rewards *5541,-119.76,Food & Drink
2024-05-09,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2081.61,Services
2024-05-09,Expense,Sub: Adobe CC,Business,Business Checking *9901,-54.99,Services
2024-05-09,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-42.76,Transport
2024-05-10,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2610.24,Services
2024-05-10,Transfer,Owner Payout,Business,Business Checking *9901,-6666.67,Bills
2024-05-10,Transfer,Transfer from Business,Personal,Adv SafeBalance *2290,6666.67,Services
2024-05-10,Expense,Transport Purchase,Personal,Travel Rewards *5541,-166.56,Transport
2024-05-11,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2857.61,Services
2024-05-11,Expense,Sub: ChatGPT Plus,Business,Business Checking *9901,-20.0,Services
2024-05-12,Transfer,CC Pmt 1820,Personal,Adv SafeBalance *2290,-1281.87,Bills
2024-05-12,Payment,Payment Received,Personal,Platinum Mastercard *1820,1281.87,Bills
2024-05-12,Transfer,CC Pmt 5541,Personal,Adv SafeBalance *2290,-1460.52,Bills
2024-05-12,Payment,Payment Received,Personal,Travel Rewards *5541,1460.52,Bills
2024-05-12,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-64.77,Shopping
2024-05-13,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2000.69,Services
2024-05-13,Expense,Sub: iCloud+,Personal,Platinum Mastercard *1820,-9.99,Bills
2024-05-13,Expense,Entertainment Purchase,Personal,Travel Rewards *5541,-42.31,Entertainment
2024-05-14,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2303.71,Services
2024-05-14,Expense,Transport Purchase,Personal,Travel Rewards *5541,-81.0,Transport
2024-05-15,Expense,Supply Warehouse,Business,Business Checking *9901,-304.25,Services
2024-05-15,Expense,Sub: Hulu,Personal,Travel Rewards *5541,-14.99,Entertainment
2024-05-16,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2100.85,Services
2024-05-16,Expense,Supply Warehouse,Business,Business Checking *9901,-240.67,Services
2024-05-16,Expense,Shopping Purchase,Personal,Travel Rewards *5541,-189.2,Shopping
2024-05-17,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1505.29,Services
2024-05-17,Expense,Supply Warehouse,Business,Business Checking *9901,-516.78,Services
2024-05-17,Expense,Sub: Microsoft 365,Business,Business Checking *9901,-6.99,Services
2024-05-17,Expense,Travel Purchase,Personal,Platinum Mastercard *1820,-93.14,Travel
2024-05-18,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1564.06,Services
2024-05-18,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-94.01,Food & Drink
2024-05-19,Expense,Sub: Playstation Plus,Personal,Platinum Mastercard *1820,-14.99,Entertainment
2024-05-19,Expense,Food & Drink Purchase,Personal,Platinum Mastercard *1820,-68.15,Food & Drink
2024-05-20,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2154.32,Services
2024-05-21,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1666.28,Services
2024-05-21,Expense,Health Purchase,Personal,Travel Rewards *5541,-131.56,Health
2024-05-23,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1383.76,Services
2024-05-24,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1546.02,Services
2024-05-24,Expense,Transport Purchase,Personal,Travel Rewards *5541,-20.65,Transport
2024-05-25,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2894.31,Services
2024-05-27,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1721.12,Services
2024-05-27,Expense,Transport Purchase,Personal,Platinum Mastercard *1820,-109.46,Transport
2024-05-28,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,2150.1,Services
2024-05-29,Expense,Travel Purchase,Personal,Travel Rewards *5541,-192.75,Travel
2024-05-30,Deposit,Client Pmt: Plumbing,Business,Business Checking *9901,1129.23,Services
